project_id,employee_id,role_in_project,hours_logged
prj_037,emp_039,drafter,399
prj_037,emp_031,project_manager,382
prj_038,emp_045,architect,13
prj_038,emp_044,drafter,37
prj_038,emp_007,site_inspector,23
prj_039,emp_013,designer,275
prj_039,emp_029,project_manager,94
prj_039,emp_014,designer,168
prj_039,emp_027,project_manager,308
prj_040,emp_023,project_manager,309
prj_040,emp_013,designer,422
prj_040,emp_004,direction,93
prj_040,emp_016,drafter,397
prj_041,emp_039,drafter,19
prj_041,emp_029,project_manager,16
prj_041,emp_012,designer,37
prj_041,emp_031,architect,27
prj_041,emp_038,drafter,29
prj_041,emp_036,drafter,38
prj_041,emp_023,project_manager,28
prj_041,emp_044,drafter,31
prj_041,emp_011,drafter,31
prj_042,emp_046,drafter,805
prj_042,emp_050,drafter,1023
prj_042,emp_042,drafter,429
prj_042,emp_018,drafter,1017
prj_042,emp_028,project_manager,424
prj_042,emp_025,designer,541
prj_043,emp_018,site_inspector,250
prj_043,emp_017,drafter,852
prj_043,emp_042,drafter,445
prj_043,emp_046,drafter,804
prj_043,emp_048,drafter,1059
prj_043,emp_020,designer,378
prj_044,emp_044,drafter,780
prj_044,emp_035,drafter,878
prj_044,emp_041,drafter,569
prj_044,emp_031,project_manager,578
prj_044,emp_043,drafter,777
prj_045,emp_023,project_manager,154
prj_045,emp_015,designer,162
prj_046,emp_030,project_manager,494
prj_046,emp_008,architect,492
prj_046,emp_031,project_manager,489
prj_046,emp_004,direction,52
prj_046,emp_041,drafter,938
prj_046,emp_038,drafter,775
prj_047,emp_050,drafter,26
prj_047,emp_006,drafter,17
prj_047,emp_032,drafter,30
prj_047,emp_022,architect,29
prj_047,emp_041,drafter,29
prj_048,emp_031,project_manager,376
prj_048,emp_025,drafter,855
prj_048,emp_001,direction,128
prj_049,emp_045,drafter,641
prj_049,emp_023,project_manager,456
prj_049,emp_020,designer,582
prj_049,emp_009,project_manager,302
prj_049,emp_007,site_inspector,205
prj_050,emp_026,administration,107
prj_050,emp_002,direction,91
prj_050,emp_015,designer,547
prj_050,emp_047,drafter,981
prj_050,emp_009,project_manager,287
